what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423239647811
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239647928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239707665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423239707673
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239707838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239723742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239729110
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239773127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423239773136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239773251
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239794884
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423239794893
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239795008
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239850268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1423239850279
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1423239850397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239866614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239917261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239920364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239982587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239984412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239986087
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423239986526
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1423239987051
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1423239987056
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1423239987057
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1423239987059
